"id","creation_date","modification_date","transaction_type_id","customer_id","status","agcode","number","due_date","payment_date","PaymentMethod","PaymentReferenceNumber","total_amount","comments","reference_number"
"9da78478-24dc-4105-b9d4-3f24a888e509","2019-06-07 11:27:16.195943-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","b1a69aa4-48f4-4295-bc34-b6a308899c64",1,1,"151357","2019-06-13 11:27:16.168922-03","2019-06-10 00:00:00-03","Rapipago","142309","270.0","cititronic.com.ar","5386688"
"d6830646-6f6c-4719-bc16-3ffcd41a1b55","2019-06-07 11:28:50.746939-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","11ca3e1a-2708-4d2a-bbcc-9e367c4041c0",1,1,"151361","2019-06-13 11:28:50.716444-03","2019-06-10 00:00:00-03","Rapipago","142645","270.0","barchiesisrl.com.ar","5431639"
"df0f4b34-960e-4c6c-935c-a3d241dbdd4a","2019-06-07 11:39:55.282431-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","5a62e1f5-b27e-47c6-84e8-624de695e62b",1,1,"151395","2019-06-13 11:39:55.253053-03","2019-06-10 00:00:00-03","Rapipago","142669","270.0","bebavonzabel.com.ar","5431914"
"c2d9e4b7-db20-4110-b07a-0af5553d70e5","2019-06-07 11:34:09.288774-03",NULL,"68297545-9b47-4acf-abd6-4661d2a03754","99bc5b05-f99e-4cae-bada-5a191d2cbbf5",1,1,"151374","2019-06-13 11:34:09.254306-03","2019-06-10 00:00:00-03","Rapipago","142707","270.0","ospida.org.ar","5431762"
"cca5633f-af03-41e8-af0a-e87c8b1a6fad","2019-06-07 11:34:30.221138-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","3b4d4c42-b969-4555-9512-50ee5945eab9",1,1,"151378","2019-06-13 11:34:30.187539-03","2019-06-10 00:00:00-03","Rapipago","142603","270.0","claytennis.com.ar","5431773"
"3fac5319-83b4-4438-b545-0826c87417d4","2019-06-07 11:47:18.567199-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","ea154253-b8ec-4d70-8bcf-b6e29d7f8934",1,1,"151429","2019-06-13 11:47:18.530067-03","2019-06-10 00:00:00-03","Rapipago","142218","270.0","gp-abogados.com.ar","5432092"
"6bca1e21-1833-4ce4-aeeb-1bf45c353df2","2019-06-07 12:05:15.723762-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","55d3af45-9c5f-4d71-8dfd-c372bb6ecd77",1,1,"151476","2019-06-13 12:05:15.687644-03","2019-06-10 00:00:00-03","Rapipago","142510","270.0","dhinco.com.ar","5432323"
"171f3cbe-257b-437c-9d79-d57db8ffcbc5","2019-06-07 12:27:59.20996-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","fc0fad45-e73c-457a-8cef-9b0a64c37b7a",1,1,"151514","2019-06-13 12:27:59.175729-03","2019-06-10 00:00:00-03","Rapipago","142678","270.0","elizabethduarte.com.ar","5432903"
"0a534622-b62f-495b-9ed8-65777b67b78c","2019-06-07 12:42:52.177699-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","bd10b42d-9444-4f37-a580-5ae2b0d8a846",1,1,"151557","2019-06-13 12:42:52.152368-03","2019-06-10 00:00:00-03","Rapipago","142214","270.0","nchbs.com.ar","5433224"
"72514609-b706-4acf-ab5d-20778411d845","2019-06-07 12:49:18.302103-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","8c131452-295a-4486-a8de-92018f0004d9",1,1,"151578","2019-06-13 12:49:18.27657-03","2019-06-10 00:00:00-03","Rapipago","142285","270.0","escribaniagoldman.com.ar","5433340"
"279f9acf-6890-46dd-b70c-5605fc72c40d","2019-06-07 12:27:09.853499-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","923ed41a-6974-46b6-bb2b-82ae5eacc61e",1,1,"151512","2019-06-13 12:27:09.830876-03","2019-06-10 00:00:00-03","Rapipago","142728","270.0","alpec.com.ar","5432880"
"72c7049e-e3b9-49fc-aa79-d9864b2f4dc4","2019-06-07 13:02:47.05334-03",NULL,"8aabb6d5-fd8c-4d66-8ad1-6ffaa5eb7ff6","226f58ba-c177-4510-a393-94306429b192",1,1,"151617","2019-06-13 13:02:47.032162-03","2019-06-10 00:00:00-03","Rapipago","142376","270.0","editorialestudio.com.ar","5433587"
